LinkedIn profile ID,Company name,Job title,Industry,ai_SENIORITY,Years in role,Years in company,Number of connections,Number of employees,Year founded,Hiring on LinkedIn,Six months headcount growth,Two years headcount growth,Yearly headcount growth,fe_seniority_ord,fe_type_of_contact_ord,fe_fit_approved,fe_fit_data_approved,fe_company_age,fe_log_employees,fe_company_size_bucket,fe_log_connections,fe_headcount_momentum,fe_has_email,fe_has_bio,fe_microsoft_flag,fe_department_encoded,ext_ms_maturity_score,ext_has_competitor_tech,nlp_report_length,nlp_has_momentum,nlp_urgency_score,nlp_embedding_01,nlp_embedding_02,nlp_embedding_03,nlp_topic,fe_tech_fit_comunica,fe_tech_fit_colabora,fe_tech_fit_infra,fe_tech_fit_ia,fe_tech_fit_data,fe_tech_fit_workplace,fe_tech_fit_maite
ACoAABfc_VIB-VKeLK1kczeNfUQVqQohcoi5IOo,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.872853,-3.932838,0.43394092,30,,,,,,,
ACoAAAOq1vcBdR1qgcUBtMqEiD2Mw47zwzWBOhk,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.868114,-3.9376922,0.42886934,29,,,,,,,
ACoAADMD6bIBeyAoJHlCUihLSwpiZphw4x2AiMU,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8621,-3.943597,0.42293593,29,,,,,,,
ACoAAAPdYesBEjK6dmEM6CZcOwjdae61snb9KzQ,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,29,,,,,,,
ACoAAApmvfIBL_YwoJ1LFlE7q6BDDwLrIWhKodI,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862102,-3.9435897,0.42295012,29,,,,,,,
ACoAAAL4v-cBx6sGMxTQOMy0QKqd9CqexWEWs2o,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862102,-3.9435897,0.42295012,30,,,,,,,
ACoAAAML0SYBXMBkrhGG-iApyRP0jbN3RDxudCA,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862504,-3.9427438,0.42394656,29,,,,,,,
ACoAAALMtcQBRCmEyBUAsW4qkaNH_eFN-CXOsew,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-16.657879,4.910394,-0.59201074,29,,,,,,,
ACoAAAsgtcIBZmN0x3hunPFthyWhYTOZtRbJVLk,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8656025,-3.9396734,0.42694646,29,,,,,,,
ACoAAAw_B1oB-YrQv3JjoFgHc--KuCP83cv-LVw,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,30,,,,,,,
ACoAAACN0EsBoEhWl0Bef1BocFlJWziPD_rWzRs,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.872853,-3.932838,0.43394092,29,,,,,,,
ACoAAAjfAF8B0RLiyseCmaKzqvkNmrJFzY_v164,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,30,,,,,,,
ACoAAA9yrioBJHmyQ162lEwlp2ZxRLcPgjtmA1A,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,30,,,,,,,
ACoAAAo8Ii4BkAgZHD8pRlCJN-8SpANWBgbV6II,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,29,,,,,,,
ACoAADT7RxAB7Rsj_Pgg9GoG-CYaMrzPCzbgC78,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.8643,-3.9409592,0.42559806,30,,,,,,,
ACoAAACwNHsBkcDrQQottfJts_fjcruqyQz-pKY,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-16.563377,4.8144383,-0.508136,29,,,,,,,
ACoAAAVRlk8B4336uPej4BdHp23dfEtPERo46YE,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.872853,-3.932838,0.43394092,29,,,,,,,
ACoAAA00qpgBjbc4o_qqxQuUSs1UWS6QsLNUU9U,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.043578,14.956671,4.627418,30,,,,,,,
ACoAABziUgYBF58ku1NSoP_jX_YlwX_aa12KC6k,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,30,,,,,,,
ACoAAAG5YTMBDH4PzzXCN5UPD8AEqfjiaA0iVgc,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.869267,-3.9361336,0.4304502,30,,,,,,,
ACoAAADSNEgBvz1nWOUFYO9vk1DKmxZmvZxp0bM,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.86783,-3.9379046,0.42865586,30,,,,,,,
ACoAADbpMWIBD9Sfl7xp5qb7elzdDvwJ0Oc7Yvg,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.043578,14.956671,4.627418,29,,,,,,,
ACoAAAyNVR8BMELcDh0tEuGm4VlLM8VieuLI5rU,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,30,,,,,,,
ACoAAAhBD8ABbx9S1uQSCmHbPXNbz86ZA6LK5rY,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.862226,-3.9428256,0.42378554,30,,,,,,,
ACoAAAAzzSoB1Stq5CIspR9B1TOJWXPXw2zVX74,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.872853,-3.932838,0.43394092,30,,,,,,,
ACoAAAHi0IMBiMcH3HOo6Wp9Mq9no1Rj-WerATQ,,,,,,,,,,,,,,,0,,,,,,,0.0,0,0,,0.1404710205445131,,,0.0,0,0,-11.051449,14.971196,4.619263,29,,,,,,,
